Article_ID;DOI;Year;Authors;Title;Journal;Volume_pages;Species;Organ/material;Corpus_status;Chemical_scope;Key_result;Source_file;Genus_count_master;Species_count_master;Taxonomic_unit_count_master;Organ_primary_count_master;Presence_record_count_master;Chemical_entity_count_master;Exact_structure_count_master;Chemical_domain_count_master;Chemical_class_count_master
L191;10.3390/nu12020533;2020;Shibuya et al.;Acai Extract Transiently Upregulates Erythropoietin by Inducing a Renal Hypoxic Condition in Mice;Nutrients;12(2):533;Euterpe oleracea;Commercial whole-fruit extract;Include - low-confidence composition;Product composition table and in vivo assay;Six fatty acids reported without an analytical method for the composition table;A0187/rendered.html;1;1;1;1;6;6;5;1;1
L193;10.3390/molecules26113433;2021;Martins et al.;Acai (Euterpe oleracea Mart.) Seed Extracts from Different Varieties: A Source of Proanthocyanidins and Eco-Friendly Corrosion Inhibition Activity;Molecules;26(11):3433;Euterpe oleracea;Seeds of three varieties;Include;ESI-MS/MS, MALDI-TOF and proanthocyanidin characterization;Catechin-derived oligomers through DP11 and PAC contents of 6.4-22.4% dry matter;A0217/rendered.html;1;1;1;1;6;6;0;1;3
L195;10.3390/gels8020126;2022;Tunit et al.;Hydrogel Containing Borassus flabellifer L. Male Flower Extract for Antioxidant, Antimicrobial, and Anti-Inflammatory Activity;Gels;8(2):126;Borassus flabellifer;Male flowers;Include;Targeted LC-MS/MS and class assays;Gallic acid, quercetin and coumarin confirmed against reference standards;A0254/rendered.html;1;1;1;1;3;3;3;1;3
L197;10.3390/ijms24043396;2023;Alshammari et al.;Antioxidant, Tyrosinase, alpha-Glucosidase, and Elastase Enzyme Inhibition Activities of Optimized Unripe Ajwa Date Pulp (Phoenix dactylifera) Extracts by Response Surface Methodology;International Journal of Molecular Sciences;24(4):3396;Phoenix dactylifera;Unripe Ajwa date pulp;Include;Tentative HRMS/MS profiling and extraction optimization;"Sixty-seven tabulated annotations include three sulfate conjugates; the article claims 70";A0273/rendered.html;1;1;1;1;67;67;17;4;13
L200;10.31055/1851.2372.v58.n4.41049;2023;Mandon & Campagna;Estudio de los frutos de Butia yatay y Syagrus romanzoffiana (Arecaceae) cultivadas con fines ornamentales como fuente de nutrientes y compuestos bioactivos;Boletin de la Sociedad Argentina de Botanica;58(4):533-546;"Butia yatay; Syagrus romanzoffiana";Fruit pulp/pericarp;Include;GC fatty-acid composition, proximate analysis and histochemistry;Thirty fatty-acid species-organ rows plus calcium oxalate evidence;A0288/1851-2372-bsab-58-04-5.pdf;2;2;2;1;32;18;16;2;2
L203;10.3390/antiox13060711;2024;Mello et al.;Bioactive Compounds and Antioxidant Capacity of Pulp, Peel and Seeds from Jeriva (Syagrus romanzoffiana);Antioxidants;13(6):711;Syagrus romanzoffiana;Fruit pulp, peel and seeds;Include;Targeted HPLC-DAD/MS and class assays;Vitamin C, six phenolics and five carotenoid forms quantified by fruit part;A0315/rendered.html;1;1;1;2;32;12;6;4;6
L205;10.1016/0009-3084(70)90066-6;1970;Litchfield;Taxonomic patterns in the fat content, fatty acid composition, and triglyceride composition of Palmae seeds;Chemistry and Physics of Lipids;4:96-103;Twelve palm species;Seed/kernel fats;Include;GC fatty-acid composition and pancreatic-lipase positional analysis;Primary triglyceride and sn-2 fatty-acid profiles for 12 palm species;1-s2.0-0009308470900666-main.pdf;12;12;12;1;178;9;9;1;1
L207;10.1016/0031-9422(95)00194-C;1995;Wiberg & Bafor;Medium chain-length fatty acids in lipids of developing oil palm kernel endosperm;Phytochemistry;39(6):1325-1327;Elaeis guineensis;Developing kernel endosperm;Include;Lipid-class quantification and fatty-acid profiling across development;Lauric and myristic acids rose in TAG during kernel development and declined in DAG/PC after 13 weeks;1-s2.0-003194229500194C-main.pdf;1;1;1;1;6;2;2;1;1
L208;10.1016/0308-8146(84)90034-7;1984;Edem, Eka & Ifon;Chemical evaluation of the nutritive value of the raffia palm fruit (Raphia hookeri);Food Chemistry;15:9-17;Raphia hookeri;Fruit peel and raw/cooked pulp;Include;Proximate, mineral, vitamin and antinutrient analyses;Explicit composition tables quantify 25 metrics across peel, raw pulp and cooked pulp;1-s2.0-0308814684900347-main.pdf;1;1;1;1;9;3;3;3;3
L211;10.1016/j.phytochem.2004.06.004;2004;Simas et al.;Structure of a heteroxylan of gum exudate of the palm Scheelea phalerata (uricuri);Phytochemistry;65:2347-2355;Scheelea phalerata (= Attalea phalerata);Gum exudate;Include;Polysaccharide isolation, GC-MS, methylation, NMR, MALDI-TOF and HPSEC-MALLS;A highly branched acidic heteroxylan and two diagnostic glucuronoxylan oligosaccharides were characterized;1-s2.0-S0031942204002420-main.pdf;1;1;1;1;3;3;0;1;1
L212;10.1016/j.foodres.2005.03.009;2005;Coisson et al.;Euterpe oleracea juice as a functional pigment for yogurt;Food Research International;38:893-897;Euterpe oleracea;Fruit juice and juice-enriched yogurt;Include;Targeted anthocyanin confirmation, food composition and DPPH assay;Cyanidin 3-O-glycoside was confirmed at more than 1600 mg/kg fresh juice;1-s2.0-S096399690500092X-main.pdf;1;1;1;1;1;1;0;1;1
L214;10.3732/ajb.89.11.1772;2002;Knudsen;Variation in floral scent composition within and between populations of Geonoma macrostachys (Arecaceae) in the western Amazon;American Journal of Botany;89(11):1772-1778;Geonoma macrostachys var. macrostachys;Inflorescence headspace;Include;Field headspace GC-MS across 62 samples;Fourteen chemically named common VOCs were extracted from a 108-feature floral-scent dataset;American J of Botany - 2002 - Knudsen - Variation in floral scent composition within and between populations of Geonoma.pdf;1;1;1;1;14;14;9;2;3
L215;10.3732/ajb.91.8.1190;2004;Caissard et al.;Localization of production and emission of pollinator attractant on whole leaves of Chamaerops humilis (Arecaceae);American Journal of Botany;91(8):1190-1199;Chamaerops humilis;Flowering leaves;Include;Leaf-part washes and dynamic headspace GC-MS;Six named major VOCs were quantified across sinus, vein and blade by two extraction modes;American J of Botany - 2004 - Caissard - Localization of production and emission of pollinator attractant on whole leaves.pdf;1;1;1;1;6;6;5;3;4
L217;10.1002/lipi.19850870310;1985;Daulatabad & Ankalgi;Component acids of Palmae seed oils;Fette, Seifen, Anstrichmittel;87(3):126-128;"Washingtonia filifera; Phoenix rupicola; Licuala grandis";Seed oils;Include;Oil extraction and chromatographic fatty-acid analysis;Twenty-four species-compound fatty-acid measurements plus oil-yield metrics;Fette  Seifen  Anstrichmittel - 1985 - Daulatabad - Component Acids of Palmae Seed Oils.pdf;3;3;3;1;24;8;8;1;1
L218;10.1002/jsfa.2740260907;1975;Macfarlane, Swetman & Cornelius;Analysis of mesocarp and kernel oils from the American oil palm and F1 hybrids with the West African oil palm;Journal of the Science of Food and Agriculture;26:1293-1298;"Elaeis oleifera; Elaeis guineensis; F1 hybrids";Mesocarp and kernel oils;Include;GC fatty-acid profiles and oil-quality measurements;Experimental profiles cover pure American oil palm, African oil palm and reciprocal F1 hybrids;J Sci Food Agric - September 1975 - Macfarlane - Analysis of mesocarp and kernel oils from the American oil palm and F1.pdf;1;2;7;2;119;11;11;1;1
L219;10.1002/ptr.1664;2005;Jimenez et al.;Secondary metabolites from Chamaedora tepejilote (Palmae) are active against Mycobacterium tuberculosis;Phytotherapy Research;19:320-322;Chamaedora tepejilote (as published);Leaves;Include;Bioassay-guided isolation with GC-MS, NMR and MS;Squalene, farnesol, methyl palmitate, beta-sitosterol and ursolic acid were identified;Phytotherapy Research - 2005 - Jimenez - Secondary Metabolites from Chamaedora tepejilote  Palmae  are Active against.pdf;1;1;1;1;5;5;4;2;4
L220;10.1055/s-2001-19366;2001;Knudsen, Tollsten & Ervik;Flower scent and pollination in selected Neotropical palms;Plant Biology;3:642-653;Fourteen Neotropical palm species;Inflorescence headspace;Include;Field headspace GC-MS;Dominant named VOCs and total feature counts were compiled for 14 species;Plant Biology - 2008 - Knudsen - Flower Scent and Pollination in Selected Neotropical Palms.pdf;10;14;14;1;63;15;13;4;5
L222;http://www.jstor.org/stable/3672227;1988;Zona & Scogin;Flavonoid aglycones and C-glycosides of the palm genus Washingtonia (Arecaceae: Coryphoideae);The Southwestern Naturalist;33(4):498;"Washingtonia filifera; Washingtonia robusta";Leaves;Include;Hydrolysis, paper chromatography and spectroscopy;"Tricin, three C-glycosides and leucocyanidin occurred in both species; kaempferol distinguished W. filifera";zona1988.pdf;1;2;2;1;11;6;6;2;4
L223;10.1016/j.lfs.2012.06.013;2012;Pinheiro, Boylan & Fernandes;Antinociceptive effect of the Orbignya speciosa Mart. (Babassu) leaves: Evidence for the involvement of apigenin;Life Sciences;91:293-300;Orbignya speciosa (= Attalea speciosa);Leaves;Include;Isolation and NMR/TLC/HPLC identification;"Apigenin was isolated from the dichloromethane leaf fraction (3 mg; 0.2% of the fraction)";1-s2.0-S0024320512003219-main.pdf;1;1;1;1;1;1;1;1;1
L225;10.1016/j.bse.2005.11.011;2006;Chakraborty et al.;Unusually high quantity of 4-hydroxybenzoic acid accumulation in cell wall of palm mesocarps;Biochemical Systematics and Ecology;34:509-513;Twenty-two Arecaceae taxa;Fruit mesocarp cell walls;Include;TLC/UV quantification with HPLC and ESI-MS confirmation;Wall-bound 4-hydroxybenzoic and ferulic acids were quantified in 22 palms;1-s2.0-S0305197806000251-main.pdf;18;15;22;1;48;3;3;1;1
L226;10.1016/j.foodchem.2006.02.026;2007;Borse et al.;Chemical composition of volatiles from coconut sap (neera) and effect of processing;Food Chemistry;101:877-880;Cocos nucifera;Inflorescence sap;Include;SDE-GC-MS quantitative volatile profiling;Fresh, clarified and fermented neera yielded 46 preparation-specific quantitative VOC occurrences;1-s2.0-S0308814606001488-main.pdf;1;1;1;1;45;25;20;4;7
L227;10.1016/j.foodchem.2008.03.015;2008;Yu et al.;Non-nutritive functional agents in rattan-shoots, a food consumed by native people in the Philippines;Food Chemistry;110:991-996;Calamus ornatus var. philippinensis (= Calamus ornatus);Tender terminal shoots;Include;"Bioassay-guided isolation; NMR and MS";Four diosgenin derivatives and beta-sitosterol glucoside were isolated;1-s2.0-S0308814608003129-main.pdf;1;1;1;1;5;5;2;1;2
L228;10.1016/j.phytol.2010.02.007;2010;da Silva & Parente;Chemical properties and antiinflammatory activity of a galactomannoglucan from Arecastrum romanzoffianum;Phytochemistry Letters;3:109-112;Arecastrum romanzoffianum (= Syagrus romanzoffiana);Fruit mesocarp;Include;Polysaccharide isolation, GC-MS, methylation and NMR;A galactomannoglucan containing galactose:mannose:glucose 10:37:53 was characterized;1-s2.0-S1874390010000236-main.pdf;1;1;1;1;1;1;0;1;1
L231;10.1002/ffj.1797;2007;Meekijjaroenroj, Bessière & Anstett;Chemistry of floral scents in four Licuala species (Arecaceae);Flavour and Fragrance Journal;22:300-310;"Licuala grandis; L. lauterbachii; L. spinosa; L. mattanensis";Floral headspace;Include;Headspace GC-MS and relative quantification;A 101-feature floral VOC dataset was resolved across four Licuala species;Flavour   Fragrance J - 2007 - Meekijjaroenroj - Chemistry of floral scents in four Licuala species  Arecaceae.pdf;1;4;4;1;152;91;68;5;8
L232;10.1007/s11746-007-1103-z;2007;Rodríguez-Leyes et al.;Fatty Acid Composition and Oil Yield in Fruits of Five Arecaceae Species Grown in Cuba;Journal of the American Oil Chemists' Society;84:765-767;Five Cuban palm species;Whole ripe fruits;Include;Soxhlet oil yield and GC fatty-acid profiles;Oil yields and nine fatty acids were quantified in five species;J Americ Oil Chem Soc - 2007 - Rodríguez‐Leyes - Fatty Acid Composition and Oil Yield in Fruits of Five Arecaceae Species.pdf;4;5;5;1;45;9;9;1;1
L233;10.1007/s11746-009-1490-4;2010;Montúfar et al.;Oenocarpus bataua Mart. (Arecaceae): Rediscovering a Source of High Oleic Vegetable Oil from Amazonia;Journal of the American Oil Chemists' Society;87:167-172;Oenocarpus bataua;Fruit mesocarp oil;Include;GC fatty acids/sterols and HPLC carotenoids/tocochromanols;Fifteen fatty acids and minor unsaponifiable constituents were quantified from 38 samples;J Americ Oil Chem Soc - 2009 - Montúfar - Oenocarpus bataua Mart   Arecaceae   Rediscovering a Source of High Oleic.pdf;1;1;1;1;25;25;21;3;5
L234;10.1080/0972060X.2011.10643928;2011;Ayoub et al.;Chemical Composition of Essential Oil from Doum Fruits Hyphaene thebaica (Palmae);Journal of Essential Oil Bearing Plants;14(2):245-249;Hyphaene thebaica;Fresh fruits;Include;"Hydrodistillation; GC and GC-MS";"Fifty identified GC-MS features were reported; incensole and incensole acetate dominated";ayoub2011.pdf;1;1;1;1;50;50;43;5;7
L235;10.1016/j.phytochem.2009.09.025;2010;Chang et al.;Cardiovascular protective flavonolignans and flavonoids from Calamus quiquesetinervius;Phytochemistry;71:271-279;"Calamus quiquesetinervius (published; = Calamus formosanus)";Stems;Include;"Bioassay-guided isolation; HPLC, HRMS, 1D/2D NMR and CD";Six new calquiquelignans and six known phenolics were characterized;chang2010.pdf;1;1;1;1;12;12;6;1;5
L236;10.1080/1478641500059276;2006;El-Sayed et al.;Antioxidant activity and two new flavonoids from Washingtonia filifera;Natural Product Research;20(1):57-61;Washingtonia filifera;Aerial parts;Include;"Isolation; NMR, MS, UV and electrophoresis";Ten flavonoids include two sulfated luteolin glucosides and two new natural products;el-sayed2006.pdf;1;1;1;1;10;10;5;2;2
L237;10.1111/j.1365-2621.2006.01493.x;2008;Seneviratne & Dissanayake;Variation of phenolic content in coconut oil extracted by two conventional methods;International Journal of Food Science and Technology;43:597-602;Cocos nucifera;Kernel-derived coconut oils;Include;HPLC-fluorescence quantification and LC-MS confirmation;Four phenolics were quantified in commercial and traditional coconut oils;j.1365-2621.2006.01493.x.pdf;1;1;1;1;8;4;3;1;2
L238;10.1080/10286020802684631;2009;Yuan et al.;Phenolic compounds with cell protective activity from the fruits of Livistona chinensis;Journal of Asian Natural Products Research;11(3):243-249;Livistona chinensis;Fruits;Include;"Isolation; HPLC, NMR and HRMS";Three new livistones and eleven known compounds were isolated;yuan2009.pdf;1;1;1;1;14;14;4;2;4
L239;10.1016/j.actatropica.2013.08.003;2013;Demirci et al.;Phoenix dactylifera L. spathe essential oil: Chemical composition and repellent activity against the yellow fever mosquito;Acta Tropica;128:557-560;Phoenix dactylifera;Fresh spathe;Include;GC-MS essential-oil profile;"Sixteen essential-oil constituents were quantified; 3,4-dimethoxytoluene represented 73.47%";1-s2.0-S0001706X13002088-main.pdf;1;1;1;1;16;16;12;5;7
L240;10.1016/j.phytochem.2013.07.008;2013;Siles, Cela & Munné-Bosch;Vitamin E analyses in seeds reveal a dominant presence of tocotrienols over tocopherols in the Arecaceae family;Phytochemistry;95:207-214;Eighty-four Arecaceae species;Seeds and dissected seed tissues;Include;HPLC-fluorescence tocochromanol profiling;"Tocotrienols occurred in 83 of 84 palms; the available main table resolves eight homologues in six species and three seed tissues";1-s2.0-S0031942213002628-main.pdf;6;6;6;1;69;7;0;2;2
L241;10.1590/S0102-695X2013005000061;2013;de Oliveira et al.;Flavonoids from leaves of Mauritia flexuosa;Revista Brasileira de Farmacognosia;23(4):614-620;Mauritia flexuosa;Leaves;Include;Chromatographic isolation and NMR/MS;"Six flavonoid glycosides were isolated; five were first records for the species";1-s2.0-S0102695X13700772-main.pdf;1;1;1;1;6;6;6;1;3
L243;10.1016/j.fitote.2014.09.020;2014;Hu et al.;Antioxidant neolignan and phenolic glucosides from the fruit of Euterpe oleracea;Fitoterapia;99:178-183;Euterpe oleracea;Fruit;Include;"Bioassay-guided isolation; HRMS and NMR";Three new glucosides and six known compounds were isolated;1-s2.0-S0367326X14002688-main.pdf;1;1;1;1;9;9;1;2;6
L245;10.1016/j.indcrop.2013.04.006;2013;Moreira et al.;Characterization of Syagrus romanzoffiana oil aiming at biodiesel production;Industrial Crops and Products;48:57-60;Syagrus romanzoffiana;Seeds;Include;Seed-oil fatty-acid profiling and fuel characterization;Eight fatty acids were quantified in the native seed oil;1-s2.0-S0926669013001660-main.pdf;1;1;1;1;8;8;8;1;1
L246;10.1016/j.foodres.2013.06.002;2013;Ferrão et al.;Evaluation of composition and quality parameters of jelly palm (Butia odorata) fruits from different regions of Southern Brazil;Food Research International;54:57-62;Butia odorata;Fruit pulp;Include;Proximate analysis and GC-FID fatty-acid profiling;Nine fruit samples yielded tissue composition metrics and 144 quantitative fatty-acid records;1-s2.0-S0963996913003293-main.pdf;1;1;1;1;144;16;15;1;1
L247;10.1016/j.jscs.2011.02.015;2013;Aslam, Khan & Khan;Quantification of water soluble vitamins in six date palm cultivar's fruits growing in Dubai, United Arab Emirates, through high performance liquid chromatography;Journal of Saudi Chemical Society;17:9-16;Phoenix dactylifera;Fruits at three maturity stages;Include;HPLC vitamin profiling;"Qualitative cultivar/stage occurrences were extracted; graph-only concentrations were not digitized";1-s2.0-S1319610311000482-main.pdf;1;1;1;1;52;6;6;1;1
L248;10.1016/S1995-7645(13)60142-X;2013;Renjith, Chikku & Rajamohan;Cytoprotective, antihyperglycemic and phytochemical properties of Cocos nucifera (L.) inflorescence;Asian Pacific Journal of Tropical Medicine;6(10):804-810;Cocos nucifera;Immature inflorescence;Include;Class-level screening, macronutrients and HPLC amino acids;"Fourteen amino acids were evidenced by the source chromatogram; class tests and extraction metrics were retained separately";1-s2.0-S199576451360142X-main.pdf;1;1;1;1;14;14;1;1;1
L249;10.1051/fruits/2014020;2014;Amorós et al.;Physico-chemical and functional characteristics of date fruits from different Phoenix species (Arecaceae);Fruits;69:263-274;Five Phoenix species;Fruits, Khalal and Rutab stages;Include;HPLC sugars/organic acids and antioxidant metrics;Sugars and organic acids were quantified across five species and two maturity stages;10.1051@fruits@2014020.pdf;1;5;5;1;68;7;7;4;4
L251;10.1002/pca.2442;2013;Sterling et al.;1H-NMR Quantification of Major Saccharides in Açaí Raw Materials: a Comparison of the Internal Standard Methodology with the Absolute Intensity qNMR Method;Phytochemical Analysis;24:631-637;Euterpe oleracea;Processed raw materials;Include;1H-qNMR method comparison;Glucose, sucrose and fructose were compared in three raw materials by two qNMR methods;Phytochemical Analysis - 2013 - Sterling - 1H‐NMR Quantification of Major Saccharides in A a  Raw Materials  a Comparison.pdf;1;1;1;1;9;3;3;2;2
L252;10.3109/13880209.2012.674141;2012;Mulabagal, Keller & Calderón;Quantitative analysis of anthocyanins in Euterpe oleracea (açaí) dietary supplement raw materials and capsules by Q-TOF liquid chromatography/mass spectrometry;Pharmaceutical Biology;50(10):1289-1296;Euterpe oleracea;Processed raw materials and capsules;Include;ESI-LC-QTOF-MS/MS quantification;Four anthocyanins were quantified at baseline and after 30 days in four product matrices;Quantitative analysis of anthocyanins in Euterpe oleracea  a a   dietary supplement raw materials and capsules by Q-TOF liquid chromatography mass spe.pdf;1;1;1;1;14;4;0;1;1
L253;10.1080/12538078.2012.758496;2012;Gaceb-Terrak & Rahmania;Détection et identification de saponines stéroïdes de type spirostane chez le palmier dattier Phoenix dactylifera L. (Arecaceae);Acta Botanica Gallica;159(4):477-483;Phoenix dactylifera;Leaflets;Include;Acid hydrolysis and GC-MS;Two priority spirostane sapogenin signals were retained with an explicit hydrolysis/nomenclature caveat;gaceb-terrak2012.pdf;1;1;1;1;2;2;2;1;1
L254;10.1080/14786419.2013.793685;2013;Koolen et al.;Mauritic acid: a new dammarane triterpene from the roots of Mauritia flexuosa L.f. (Arecaceae);Natural Product Research;27(22):2118-2125;Mauritia flexuosa;Roots;Include;"Isolation; HRMS and 1D/2D NMR";Mauritic acid was characterized as a new dammarane triterpene alongside three known triterpenoids;koolen2013.pdf;1;1;1;1;4;4;2;1;1
L255;10.1089/jmf.2014.0077;2015;Lescano et al.;Diuretic and Anti-Inflammatory Activities of the Microencapsulated Acrocomia aculeata (Arecaceae) Oil on Wistar Rats;Journal of Medicinal Food;18(6):656-662;Acrocomia aculeata;Fruit pulp oil;Include;GC-FID fatty-acid profiling;"Eighteen fatty acids were quantified in pressed pulp oil; oleic acid was 65.68%";lescano-et-al-2014-diuretic-and-anti-inflammatory-activities-of-the-microencapsulated-acrocomia-aculeata-(arecaceae).pdf;1;1;1;1;18;18;17;2;2
L256;10.1556/JPC.25.2012.5.4;2012;Rumalla et al.;Densitometric-HPTLC Method Development and Analysis of Anthocyanins from Acai (Euterpe oleracea Mart.) Berries and Commercial Products;Journal of Planar Chromatography;25:409-414;Euterpe oleracea;Berries and commercial products;Include;Densitometric HPTLC;Cyanidin-3-O-rutinoside and cyanidin-3-O-glucoside were measured in authenticated and commercial materials;rumalla2012.pdf;1;1;1;1;15;2;0;1;1
L257;10.1016/j.lwt.2016.07.075;2016;Murugan, Chandran & Parimelazhagan;Effect of in vitro simulated gastrointestinal digestion of Phoenix loureirii on polyphenolics, antioxidant and acetylcholinesterase inhibitory activities;LWT - Food Science and Technology;74:363-370;Phoenix loureiroi;Peduncle and fruit;Include;HPLC polyphenols and class/bioactivity metrics;Seven individual polyphenols and digestion-dependent class metrics were extracted;1-s2.0-S0023643816304868-main.pdf;1;1;1;2;13;7;6;1;3
L258;10.1016/j.phytochem.2016.02.002;2016;Srimany et al.;Developmental patterning and segregation of alkaloids in areca nut (seed of Areca catechu) revealed by magnetic resonance and mass spectrometry imaging;Phytochemistry;125:35-42;Areca catechu;Seed;Include;MRI/MRS and DESI/ESI mass-spectrometry imaging;Four major areca alkaloids were mapped during seed maturation;1-s2.0-S0031942216300188-main.pdf;1;1;1;1;4;4;4;1;1
L259;10.1016/j.carbpol.2016.11.090;2017;Cantu-Jungles et al.;Extraction and characterization of pectins from primary cell walls of edible açaí (Euterpe oleraceae) berries, fruits of a monocotyledon palm;Carbohydrate Polymers;158:37-43;Euterpe oleracea;Fruit pulp/cell wall;Include;Polysaccharide isolation, HPSEC, methylation and NMR;Homogalacturonan, mannoglucan, type-II arabinogalactan and rhamnogalacturonan-I were characterized;1-s2.0-S0144861716313662-main.pdf;1;1;1;1;4;4;0;1;1
L261;10.1016/j.foodchem.2016.09.188;2017;Boeing et al.;Chemical characterization and protective effect of the Bactris setosa Mart. fruit against oxidative/nitrosative stress;Food Chemistry;220:427-437;Bactris setosa;Fruit pulp, peel and seed;Include;HPLC-DAD-MSn phenolics and carotenoids;Anthocyanins, non-anthocyanin phenolics and lutein were quantified by fruit part;1-s2.0-S0308814616315886-main.pdf;1;1;1;3;26;26;4;2;7
L262;10.1016/j.foodchem.2017.05.154;2017;Hoffmann et al.;Stability of bioactive compounds in butiá (Butia odorata) fruit pulp and nectar;Food Chemistry;237:638-644;Butia odorata;Fruit pulp and nectar;Include;Processing/storage stability and HPLC phenolics;Thirteen phenolics were quantified after pulp and nectar storage;1-s2.0-S0308814617309664-main.pdf;1;1;1;1;13;13;8;1;4
L263;10.1016/j.etp.2017.06.004;2017;Daoud et al.;Cardiopreventive effect of ethanolic extract of Date Palm Pollen against isoproterenol induced myocardial infarction in rats through the inhibition of the angiotensin-converting enzyme;Experimental and Toxicologic Pathology;69:656-665;Phoenix dactylifera;Pollen;Include;LC-HRESIMS metabolite annotation;Twenty-nine suggested metabolites were reported in date-palm pollen extract;1-s2.0-S0940299316303566-main.pdf;1;1;1;1;28;28;15;3;12
L264;10.1016/j.foodres.2016.10.018;2017;Abu-Reidah et al.;Phenolic composition profiling of different edible parts and by-products of date palm (Phoenix dactylifera L.) by using HPLC-DAD-ESI/MSn;Food Research International;100:494-500;Phoenix dactylifera;Pulp, skin, frond, cluster and pollen;Include;HPLC-DAD-ESI/MSn flavonoid profiling;Fifty-one named phenolic peaks were retained, including thirteen sulfated flavonoid derivatives;1-s2.0-S0963996916304458-main.pdf;1;1;1;5;51;51;2;1;3
L266;10.1080/13880209.2016.1224257;2016;de Almeida et al.;Antiprotozoal activity of extracts and isolated triterpenoids of carnauba (Copernicia prunifera) wax from Brazil;Pharmaceutical Biology;54(12):3280-3284;Copernicia prunifera;Leaf wax;Include;"Bioactivity-guided isolation; MS and NMR";Three dammarane triterpenoids were isolated and their antiprotozoal activities quantified;Antiprotozoal activity of extracts and isolated triterpenoids of  carnauba   Copernicia prunifera  wax from Brazil.pdf;1;1;1;1;3;3;0;1;1
L267;10.1155/2017/6376173;2017;Paim et al.;Antihypercholesterolemic Effects of Fruit Aqueous Extract of Copernicia prunifera (Miller) H. E. Moore in Mice Diet-Induced Hypercholesterolemia;Evidence-Based Complementary and Alternative Medicine;2017:6376173;Copernicia prunifera;Unripe fruit pulp;Include;Pectin isolation and spectroscopic/chromatographic characterization;Low-methoxyl pectin containing galacturonic acid, galactose and arabinose was characterized;Evidence-Based Complementary and Alternative Medicine - 2017 - Paim - Antihypercholesterolemic Effects of Fruit Aqueous.pdf;1;1;1;1;4;4;1;2;3
L270;10.1080/14786419.2014.1003137;2015;Hao et al.;Three new flavans in dragon's blood from Daemonorops draco;Natural Product Research;2015:online first;Daemonorops draco;Fruit resin;Include;"Chromatographic isolation; HR-EI-MS and NMR";Three new 2-methoxyflavans and eight known compounds were isolated;hao2015.pdf;1;1;1;1;11;11;9;1;3
L271;10.4155/fmc-2017-0010;2017;Hifnawy et al.;Comparative chemical and biological studies of leaves and pollens of Phoenix canariensis hort. ex Chabaud;Future Medicinal Chemistry;9(9):871-880;Phoenix canariensis;Leaves and pollen;Include;Chromatographic isolation and NMR/MS;"Five glycosides were isolated; two were first reports in the genus/species";hifnawy2017.pdf;1;1;1;3;5;5;4;2;3
L272;10.1021/acs.jafc.6b03203;2017;Hoffmann et al.;Butia spp. (Arecaceae) LC-MS-Based Metabolomics for Species and Geographical Origin Discrimination;Journal of Agricultural and Food Chemistry;65:523-532;Butia spp.;Fruit;Include;LC-ESI-qTOF-MS metabolomics and targeted quantification;"Thirty-nine semipolar compounds were characterized; geographic and species markers were quantified";jf6b03203.pdf;1;0;1;1;34;34;17;5;10
L276;10.1080/14786419.2015.1055744;2015;Shoeb, Khondker & Nahar;A new steroidal glycoside from Corypha taliera Roxb., a globally endangered species;Natural Product Research;2015:online first;Corypha taliera;Fruit pericarp;Include;"HPLC isolation; HR-ESI-MS and NMR";One new beta-sitosterol tetraglycoside was isolated;shoeb2015.pdf;1;1;1;1;1;1;0;1;1
L277;10.1016/j.bjp.2018.09.003;2018;Hifnawy et al.;Nutritional and biological evaluation of Phoenix canariensis pollen grains;Revista Brasileira de Farmacognosia;28:710-715;Phoenix canariensis;Pollen grains;Include;Nutrients, amino acids, vitamins and isolated steroidal saponins;Dioscin and methyl protodioscin were isolated and quantified with nutritional constituents;1-s2.0-S0102695X1830396X-main.pdf;1;1;1;1;21;21;4;3;3
L278;10.1016/j.bjp.2019.03.004;2019;Silva et al.;Obtaining and characterization of anthocyanins from Euterpe oleracea (açaí) dry extract for nutraceutical and food preparations;Revista Brasileira de Farmacognosia;29:677-685;Euterpe oleracea;Fruit dry extract;Include;Anthocyanin extraction optimization and physicochemical characterization;Cyanidin-3-O-glucoside and class/mineral metrics were retained;1-s2.0-S0102695X18307336-main.pdf;1;1;1;1;1;1;0;1;1
L279;10.1016/j.fitote.2019.104276;2019;Cao et al.;Two new alkaloids isolated from traditional Chinese medicine Binglang the fruit of Areca catechu;Fitoterapia;138:104276;Areca catechu;Dried fruit;Include;Isolation and structure elucidation;Two new alkaloids and forty-one known compounds were isolated;1-s2.0-S0367326X19312250-main.pdf;1;1;1;1;43;43;24;6;13
L281;10.1016/j.indcrop.2017.12.021;2018;Dario et al.;Synergistic photoprotective activity of nanocarrier containing oil of Acrocomia aculeata (Jacq.) Lodd. Ex. Martius-Arecaceae;Industrial Crops and Products;112:305-312;Acrocomia aculeata;Fruit pulp and almond oils;Include;Fatty-acid profile, phenolics, carotenoids and formulation metrics;Cold-pressed oils were chemically characterized before nanocarrier formulation;1-s2.0-S0926669017308518-main.pdf;1;1;1;2;10;10;9;2;2
